id,name,age,country,position,club,clubLeague,inTop5League,internationalCaps,internationalGoals,internationalAssists,clubGoalsThisSeason,clubAssistsThisSeason,clubAppsThisSeason,isStarter,jerseyNumber,formLast5_mean
CAN_1_20,Dayne St. Clair,29,Canada,GK,,Other,False,20,0,1,0,4,16,False,1,1.0
CAN_16_418,Maxime Crépeau,32,Canada,GK,,Other,False,32,0,2,6,2,25,True,16,1.2
CAN_18_2,Owen Goodman,23,Canada,GK,,Other,False,10,0,0,6,1,8,False,23,0.8
CAN_15_835,Moïse Bombito,26,Canada,CB,,Other,False,20,0,1,4,0,16,True,13,0.8
CAN_13_617,Derek Cornelius,29,Canada,CB,,Other,False,44,1,3,1,2,35,True,5,1.2
CAN_19_783,Alphonso Davies,26,Canada,LB,,Other,False,58,15,4,15,2,46,True,19,1.0
CAN_4_330,Luc de Fougerolles,21,Canada,CB,,Other,False,13,0,1,6,2,10,False,3,0.8
CAN_2_797,Alistair Johnston,28,Canada,RB,,Other,False,58,1,4,1,3,46,True,2,0.8
CAN_1_629,Alfie Jones,27,Canada,CB,,Other,False,20,0,1,7,2,16,False,4,1.0
CAN_22_610,Richie Laryea,31,Canada,LB,,Other,False,76,1,6,1,1,60,False,15,1.0
CAN_23_740,Niko Sigur,23,Canada,RB,,Other,False,19,2,1,2,4,15,False,25,1.6
CAN_5_798,Joel Waterman,30,Canada,CB,,Other,False,17,0,1,5,4,13,False,22,1.2
CAN_20_493,Ali Ahmed,26,Canada,RM,,Other,False,24,1,1,1,3,19,False,20,1.6
CAN_17_749,Tajon Buchanan,27,Canada,RW,,Other,False,60,8,4,8,1,48,True,17,0.8
CAN_6_905,Mathieu Choinière,27,Canada,CM,,Other,False,24,0,1,5,4,19,False,6,1.0
CAN_7_489,Stephen Eustáquio,30,Canada,CM,,Other,False,56,4,4,4,4,44,True,7,1.0
CAN_26_203,Jayden Nelson,23,Canada,AM,AM/Winger,Other,False,2,0,0,3,3,1,False,26,0.8
CAN_8_47,Ismaël Koné,24,Canada,CM,,Other,False,40,4,3,4,0,32,True,8,1.4
CAN_11_596,Liam Millar,27,Canada,AM,,Other,False,41,1,3,1,4,32,False,11,1.0
CAN_21_105,Jonathan Osorio,34,Canada,CM,,Other,False,91,10,7,10,3,72,False,21,1.2
CAN_25_477,Nathan Saliba,22,Canada,CM,,Other,False,15,2,1,2,4,12,False,24,1.6
CAN_14_27,Jacob Shaffelburg,27,Canada,LW,,Other,False,31,6,2,6,1,24,True,14,1.0
CAN_10_654,Jonathan David,26,Canada,ST,,Other,False,77,39,6,39,0,61,True,10,0.8
CAN_24_87,Promise David,25,Canada,ST,,Other,False,10,3,0,3,2,8,False,18,1.2
CAN_9_282,Cyle Larin,31,Canada,ST,,Other,False,90,30,7,30,3,72,True,9,0.6
CAN_12_999,Tani Oluwaseyi,26,Canada,ST,,Other,False,24,2,1,2,1,19,False,12,1.6
MEX_12_788,Carlos Acevedo,30,Mexico,GK,,Other,False,7,0,0,4,0,5,False,12,1.2
MEX_13_273,Guillermo Ochoa,41,Mexico,GK,,Other,False,153,0,12,1,1,122,False,13,1.2
MEX_1_983,Raúl Rangel,26,Mexico,GK,,Other,False,14,0,1,4,0,11,True,1,0.4
MEX_23_408,Jesús Gallardo,32,Mexico,LB,,Other,False,122,3,9,3,2,97,True,23,1.6
MEX_15_576,Israel Reyes,26,Mexico,CB,,Other,False,34,2,2,2,2,27,False,15,1.6
MEX_3_317,César Montes,29,Mexico,CB,,Other,False,68,4,5,4,0,54,True,3,1.0
MEX_2_4,Jorge Sánchez,29,Mexico,RB,,Other,False,59,3,4,3,0,47,True,2,1.2
MEX_5_751,Johan Vásquez,28,Mexico,CB,,Other,False,46,3,3,3,2,36,True,5,1.2
MEX_20_577,Mateo Chávez,22,Mexico,LB,,Other,False,10,0,0,1,2,8,False,20,0.8
MEX_19_873,Gilberto Mora,18,Mexico,LB,,Other,False,8,0,0,2,4,6,False,19,0.4
MEX_4_34,Edson Álvarez,29,Mexico,DM,,Other,False,99,7,7,7,4,79,True,4,0.6
MEX_17_702,Orbelín Pineda,30,Mexico,RB,,Other,False,92,12,7,12,4,73,False,17,0.8
MEX_7_953,Luis Romo,31,Mexico,CM,,Other,False,62,4,4,4,3,49,False,7,0.8
MEX_26_633,Brian Gutiérrez,23,Mexico,AM,,Other,False,7,2,0,2,0,5,False,26,0.6
MEX_18_86,Obed Vargas,21,Mexico,CM,,Other,False,6,0,0,2,0,4,False,18,1.0
MEX_21_237,César Huerta,26,Mexico,RW,,Other,False,26,3,2,3,3,20,False,21,1.6
MEX_24_714,Luis Chávez,30,Mexico,CM,,Other,False,45,5,3,5,1,36,False,24,0.8
MEX_6_986,Érik Lira,26,Mexico,CM,,Other,False,25,0,2,5,1,20,True,6,1.6
MEX_8_135,Álvaro Fidalgo,29,Mexico,CM,,Other,False,4,0,0,2,0,3,True,8,0.8
MEX_25_638,Roberto Alvarado,28,Mexico,RW,,Other,False,68,6,5,6,1,54,True,25,0.6
MEX_14_260,Armando González,23,Mexico,RM,,Other,False,7,1,0,1,2,5,False,14,1.4
MEX_9_27,Raúl Jiménez,35,Mexico,ST,,Other,False,126,45,10,45,0,100,True,9,1.4
MEX_16_72,Julián Quiñones,29,Mexico,LW,,Other,False,22,2,1,2,1,17,True,16,1.0
MEX_11_128,Santiago Gimenez,25,Mexico,ST,,Other,False,47,6,3,6,4,37,False,11,0.6
MEX_22_965,Guillermo Martínez,31,Mexico,AM,,Other,False,12,3,0,3,4,9,False,22,1.6
MEX_10_209,Alexis Vega,29,Mexico,LW,,Other,False,52,7,4,7,3,41,False,10,0.4
UNI_25_677,Chris Brady,22,Estados Unidos,GK,Chicago Fire FC,Other,False,1,0,0,0,3,27,False,25,1.0
UNI_24_927,Matt Freese,28,Estados Unidos,GK,New York City FC,Other,False,15,0,1,2,1,12,False,24,0.8
UNI_1_646,Matt Turner,32,Estados Unidos,GK,New Inglaterra Revolution,Other,False,54,0,4,2,2,43,True,1,1.4
UNI_18_139,Max Arfsten,25,Estados Unidos,LB,Columbus Crew,Other,False,20,1,1,1,3,16,False,18,1.8
UNI_2_178,Sergiño Dest,26,Estados Unidos,RB,PSV Eindhoven,Other,False,39,3,3,3,0,31,True,2,0.4
UNI_16_238,Alex Freeman,22,Estados Unidos,RB,Villarreal CF,La Liga,True,17,2,1,2,0,13,False,16,1.0
UNI_22_265,Mark McKenzie,27,Estados Unidos,CB,Toulouse FC,Ligue 1,True,29,0,2,4,1,23,False,22,1.6
UNI_13_871,Tim Ream,39,Estados Unidos,CB,Charlotte FC,Other,False,81,1,6,1,1,64,True,13,1.2
